weight,word,color,url
4,Agile Methods,,
3,AssertJ,,
5,AWS,,
3,Bash,,
3,Coaching,,
2,Data Science,,
3,DDD,,
2,Django,,
2,Fintechs,,
3,Flask,,
4,Git,,
4,Github,,
3,GraphQL,,
4,Groovy,,
5,Java,,
4,Javascript,,
2,Jekyll,,
3,JUnit,,
2,Kanban,,
5,Kotlin,,
4,Kubernetes,,
3,Medium,,
3,Micronauts,,
2,Mobx,,
3,Mockito,,
3,Node,,
2,Planning,,
3,Play,,
4,Python,,
3,Rails,,
3,React,,
3,Redux,,
3,REST,,
2,Retro,,
4,Ruby,,
5,Scala,,
3,Scalatra,,
4,Scrum,,
3,Sinatra,,
5,Spring Boot,,
4,TDD,,
2,ZSH,,
3,Pandas,,
2,Keras,,
2,Tensor Flow,,
3,Vim,,
3,Jupyter Notebook,,
4,Zalando,,
2,Agibank,,
2,Ilegra,,
1,Datacom,,
2,Clojure,,
3,Jenkins,,
4,CI/CD,,
3,Lean,,
5,Cloud,,
3,Automation,,